element,item,year,country,unit,value
Food supply,Soyabeans,2008,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2009,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1961,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1962,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1963,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1964,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1965,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1966,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1967,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1968,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1969,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1970,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1971,Americas + (Total),kcal/capita/day,0
Food supply,Soyabeans,1972,Americas + (Total),kcal/capita/day,1
Food supply,Soyabeans,1973,Americas + (Total),kcal/capita/day,1
Food supply,Soyabeans,1974,Americas + (Total),kcal/capita/day,1
Food supply,Soyabeans,1975,Americas + (Total),kcal/capita/day,1
Food supply,Soyabeans,1976,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1977,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1978,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1979,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1980,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1981,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1982,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1983,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1984,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1985,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1986,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1987,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1988,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1989,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1990,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1991,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1992,Americas + (Total),kcal/capita/day,2
Food supply,Soyabeans,1993,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1994,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1995,Americas + (Total),kcal/capita/day,3
Food supply,Soyabeans,1996,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,1997,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,1998,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,1999,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,2000,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,2001,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,2002,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2003,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2004,Americas + (Total),kcal/capita/day,4
Food supply,Soyabeans,2005,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2006,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2007,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2008,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,2009,Americas + (Total),kcal/capita/day,5
Food supply,Soyabeans,1961,Angola,kcal/capita/day,0
Food supply,Soyabeans,1962,Angola,kcal/capita/day,0
Food supply,Soyabeans,1963,Angola,kcal/capita/day,0
Food supply,Soyabeans,1964,Angola,kcal/capita/day,0
Food supply,Soyabeans,1965,Angola,kcal/capita/day,0
Food supply,Soyabeans,1966,Angola,kcal/capita/day,0
Food supply,Soyabeans,1967,Angola,kcal/capita/day,0
Food supply,Soyabeans,1968,Angola,kcal/capita/day,0
Food supply,Soyabeans,1969,Angola,kcal/capita/day,0
Food supply,Soyabeans,1970,Angola,kcal/capita/day,0
Food supply,Soyabeans,1971,Angola,kcal/capita/day,0
Food supply,Soyabeans,1972,Angola,kcal/capita/day,0
Food supply,Soyabeans,1973,Angola,kcal/capita/day,0
Food supply,Soyabeans,1974,Angola,kcal/capita/day,0
Food supply,Soyabeans,1975,Angola,kcal/capita/day,0
Food supply,Soyabeans,1976,Angola,kcal/capita/day,0
Food supply,Soyabeans,1977,Angola,kcal/capita/day,0
Food supply,Soyabeans,1978,Angola,kcal/capita/day,0
Food supply,Soyabeans,1979,Angola,kcal/capita/day,0
Food supply,Soyabeans,1980,Angola,kcal/capita/day,0
Food supply,Soyabeans,1981,Angola,kcal/capita/day,0
Food supply,Soyabeans,1982,Angola,kcal/capita/day,0
Food supply,Soyabeans,1983,Angola,kcal/capita/day,0
Food supply,Soyabeans,1984,Angola,kcal/capita/day,0
Food supply,Soyabeans,1985,Angola,kcal/capita/day,0
Food supply,Soyabeans,1986,Angola,kcal/capita/day,0
Food supply,Soyabeans,1987,Angola,kcal/capita/day,0
Food supply,Soyabeans,1988,Angola,kcal/capita/day,0
Food supply,Soyabeans,1989,Angola,kcal/capita/day,0
Food supply,Soyabeans,1990,Angola,kcal/capita/day,15
Food supply,Soyabeans,1991,Angola,kcal/capita/day,0
Food supply,Soyabeans,1992,Angola,kcal/capita/day,6
Food supply,Soyabeans,1993,Angola,kcal/capita/day,0
Food supply,Soyabeans,1994,Angola,kcal/capita/day,0
Food supply,Soyabeans,1995,Angola,kcal/capita/day,0
Food supply,Soyabeans,1996,Angola,kcal/capita/day,0
Food supply,Soyabeans,1997,Angola,kcal/capita/day,0
Food supply,Soyabeans,1998,Angola,kcal/capita/day,0
Food supply,Soyabeans,1999,Angola,kcal/capita/day,0
Food supply,Soyabeans,2000,Angola,kcal/capita/day,0
Food supply,Soyabeans,2001,Angola,kcal/capita/day,0
Food supply,Soyabeans,2002,Angola,kcal/capita/day,0
Food supply,Soyabeans,2003,Angola,kcal/capita/day,0
Food supply,Soyabeans,2004,Angola,kcal/capita/day,0
Food supply,Soyabeans,2005,Angola,kcal/capita/day,0
Food supply,Soyabeans,2006,Angola,kcal/capita/day,2
Food supply,Soyabeans,2007,Angola,kcal/capita/day,1
Food supply,Soyabeans,2008,Angola,kcal/capita/day,0
Food supply,Soyabeans,2009,Angola,kcal/capita/day,0
Food supply,Soyabeans,1961,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1962,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1963,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1964,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1965,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1966,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1967,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1968,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1969,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1970,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1971,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1972,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1973,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1974,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1975,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1976,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1977,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1978,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1979,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1980,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1981,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1982,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1983,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1984,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1985,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1986,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1987,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1988,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1989,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1990,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1991,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1992,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1993,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1994,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1995,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1996,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1997,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1998,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1999,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2000,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2001,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2002,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2003,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2004,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2005,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2006,Antigua and Barbuda,kcal/capita/day,7
Food supply,Soyabeans,2007,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2008,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,2009,Antigua and Barbuda,kcal/capita/day,0
Food supply,Soyabeans,1961,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1962,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1963,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1964,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1965,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1966,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1967,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1968,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1969,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1970,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1971,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1972,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1973,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1974,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1975,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1976,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1977,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1978,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1979,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1980,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1981,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1982,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1983,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1984,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1985,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1986,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1987,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1988,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1989,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1990,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1991,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1992,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1993,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1994,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1995,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1996,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1997,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1998,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1999,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2000,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2001,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2002,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2003,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2004,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2005,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2006,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2007,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2008,Argentina,kcal/capita/day,0
Food supply,Soyabeans,2009,Argentina,kcal/capita/day,0
Food supply,Soyabeans,1992,Armenia,kcal/capita/day,
Food supply,Soyabeans,1993,Armenia,kcal/capita/day,
Food supply,Soyabeans,1994,Armenia,kcal/capita/day,
Food supply,Soyabeans,1995,Armenia,kcal/capita/day,
Food supply,Soyabeans,1996,Armenia,kcal/capita/day,
Food supply,Soyabeans,1997,Armenia,kcal/capita/day,
Food supply,Soyabeans,1998,Armenia,kcal/capita/day,
Food supply,Soyabeans,1999,Armenia,kcal/capita/day,
Food supply,Soyabeans,2000,Armenia,kcal/capita/day,
Food supply,Soyabeans,2001,Armenia,kcal/capita/day,
Food supply,Soyabeans,2002,Armenia,kcal/capita/day,
Food supply,Soyabeans,2003,Armenia,kcal/capita/day,
Food supply,Soyabeans,2004,Armenia,kcal/capita/day,
Food supply,Soyabeans,2005,Armenia,kcal/capita/day,
Food supply,Soyabeans,2006,Armenia,kcal/capita/day,
Food supply,Soyabeans,2007,Armenia,kcal/capita/day,
Food supply,Soyabeans,2008,Armenia,kcal/capita/day,
Food supply,Soyabeans,2009,Armenia,kcal/capita/day,
Food supply,Soyabeans,1961,Asia + (Total),kcal/capita/day,23
Food supply,Soyabeans,1962,Asia + (Total),kcal/capita/day,23
Food supply,Soyabeans,1963,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1964,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1965,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1966,Asia + (Total),kcal/capita/day,26
Food supply,Soyabeans,1967,Asia + (Total),kcal/capita/day,27
Food supply,Soyabeans,1968,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1969,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1970,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1971,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1972,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1973,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1974,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1975,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1976,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1977,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1978,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1979,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1980,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1981,Asia + (Total),kcal/capita/day,23
Food supply,Soyabeans,1982,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1983,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1984,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1985,Asia + (Total),kcal/capita/day,20
Food supply,Soyabeans,1986,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1987,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1988,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,1989,Asia + (Total),kcal/capita/day,20
Food supply,Soyabeans,1990,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1991,Asia + (Total),kcal/capita/day,18
Food supply,Soyabeans,1992,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1993,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1994,Asia + (Total),kcal/capita/day,26
Food supply,Soyabeans,1995,Asia + (Total),kcal/capita/day,25
Food supply,Soyabeans,1996,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1997,Asia + (Total),kcal/capita/day,27
Food supply,Soyabeans,1998,Asia + (Total),kcal/capita/day,24
Food supply,Soyabeans,1999,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,2000,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,2001,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,2002,Asia + (Total),kcal/capita/day,20
Food supply,Soyabeans,2003,Asia + (Total),kcal/capita/day,20
Food supply,Soyabeans,2004,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,2005,Asia + (Total),kcal/capita/day,22
Food supply,Soyabeans,2006,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,2007,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,2008,Asia + (Total),kcal/capita/day,19
Food supply,Soyabeans,2009,Asia + (Total),kcal/capita/day,21
Food supply,Soyabeans,1961,Australia,kcal/capita/day,0
Food supply,Soyabeans,1962,Australia,kcal/capita/day,0
Food supply,Soyabeans,1963,Australia,kcal/capita/day,0
Food supply,Soyabeans,1964,Australia,kcal/capita/day,0
Food supply,Soyabeans,1965,Australia,kcal/capita/day,0
Food supply,Soyabeans,1966,Australia,kcal/capita/day,0
Food supply,Soyabeans,1967,Australia,kcal/capita/day,0
Food supply,Soyabeans,1968,Australia,kcal/capita/day,0
Food supply,Soyabeans,1969,Australia,kcal/capita/day,0
Food supply,Soyabeans,1970,Australia,kcal/capita/day,0
Food supply,Soyabeans,1971,Australia,kcal/capita/day,0
Food supply,Soyabeans,1972,Australia,kcal/capita/day,0
Food supply,Soyabeans,1973,Australia,kcal/capita/day,0
Food supply,Soyabeans,1974,Australia,kcal/capita/day,0
Food supply,Soyabeans,1975,Australia,kcal/capita/day,0
Food supply,Soyabeans,1976,Australia,kcal/capita/day,0
Food supply,Soyabeans,1977,Australia,kcal/capita/day,0
Food supply,Soyabeans,1978,Australia,kcal/capita/day,0
Food supply,Soyabeans,1979,Australia,kcal/capita/day,0
Food supply,Soyabeans,1980,Australia,kcal/capita/day,0
Food supply,Soyabeans,1981,Australia,kcal/capita/day,0
